,Заказ наряд,Дата,Цена,ТС,Гос номер
28,"Заказ-наряд №: 121 от 06.08.2021, ТС: ВАЗ 2109 гос. номер: Е554УА72",2021-08-06,1000,ВАЗ 2109,Е554УА72
29,"Заказ-наряд №: 126 от 06.08.2021, ТС: Nissan Almera гос. номер: А563НТ89",2021-08-06,1000,Nissan Almera,А563НТ89
30,"Заказ-наряд №: 135 от 07.08.2021, ТС: LADA  GRАNТА 219010 гос. номер:В772НС147",2021-08-07,1000,LADA  GRАNТА 219010,772НС147
31,"Заказ-наряд №: 139 от 07.08.2021, ТС: Renault Duster гос. номер: T266JC55",2021-08-07,1000,Renault Duster,T266JC55
32,"Заказ-наряд №: 142 от 12.08.2021, ТС: Kia Rio гос. номер: В462ХО750",2021-08-12,700,Kia Rio,В462ХО750
33,"Заказ-наряд №: 144 от 07.08.2021, ТС: Toyota Avensis гос. номер: ",2021-08-07,3700,Toyota Avensis,
34,"Заказ-наряд №: 145 от 07.08.2021, ТС: Renault Logan гос. номер: Е707РС72",2021-08-07,1500,Renault Logan,Е707РС72
35,"Заказ-наряд №: 147 от 07.08.2021, ТС: Hyundai Solaris гос. номер: О488КК45",2021-08-07,1000,Hyundai Solaris,О488КК45
36,"Заказ-наряд №: 155 от 08.08.2021, ТС: Kia Ceed гос. номер: Т044СР72",2021-08-08,4000,Kia Ceed,Т044СР72
37,"Заказ-наряд №: 171 от 13.08.2021, ТС: LADA  GRАNТА 219010 гос. номер:В757НС147",2021-08-13,1500,LADA  GRАNТА 219010,757НС147
38,"Заказ-наряд №: 167 от 11.08.2021, ТС: Hyundai Solaris гос. номер: О931КН72",2021-08-11,2200,Hyundai Solaris,О931КН72
39,"Заказ-наряд №: 201 от 23.08.2021, ТС: Volkswagen Polo гос. номер: С541ТЕ72",2021-08-23,1500,Volkswagen Polo,С541ТЕ72
40,"Заказ-наряд №: 209 от 11.08.2021, ТС: Datsun On-Do гос. номер: Т271ЕО72",2021-08-11,1000,Datsun On-Do,Т271ЕО72
41,"Заказ-наряд №: 219 от 11.08.2021, ТС: Volkswagen Polo гос. номер: Х342СН178",2021-08-11,2000,Volkswagen Polo,Х342СН178
42,"Заказ-наряд №: 221 от 11.08.2021, ТС: Kia Optima гос. номер: А068НВ45",2021-08-11,1000,Kia Optima,А068НВ45
43,"Заказ-наряд №: 222 от 11.08.2021, ТС: Kia Rio гос. номер: Р644ХУ777",2021-08-11,3000,Kia Rio,Р644ХУ777
44,"Заказ-наряд №: 224 от 11.08.2021, ТС: Honda Accord гос. номер: М565МО72",2021-08-11,2000,Honda Accord,М565МО72
45,"Заказ-наряд №: 249 от 13.08.2021, ТС: Mitsubishi Lancer гос. номер: Н955РР72",2021-08-13,300,Mitsubishi Lancer,Н955РР72
46,"Заказ-наряд №: 250 от 13.08.2021, ТС: Kia Optima гос. номер: ",2021-08-13,2000,Kia Optima,
47,"Заказ-наряд №: 264 от 14.08.2021, ТС: Daewoo Nexia гос. номер: Н704УУ72",2021-08-14,1000,Daewoo Nexia,Н704УУ72
48,"Заказ-наряд №: 265 от 14.08.2021, ТС: Toyota Corolla гос. номер: А069ТХ86",2021-08-14,2100,Toyota Corolla,А069ТХ86
49,"Заказ-наряд №: 267 от 14.08.2021, ТС: Nissan Almera гос. номер: Р946РМ72",2021-08-14,1000,Nissan Almera,Р946РМ72
50,"Заказ-наряд №: 274 от 15.08.2021, ТС: Opel Vectra гос. номер: У028ХН72",2021-08-15,1000,Opel Vectra,У028ХН72
51,"Заказ-наряд №: 275 от 15.08.2021, ТС: Hyundai i30 гос. номер: Т565НХ72",2021-08-15,1000,Hyundai i30,Т565НХ72
52,"Заказ-наряд №: 278 от 15.08.2021, ТС: Mazda Mazda6 гос. номер: У984УН72",2021-08-15,1000,Mazda Mazda6,У984УН72
53,"Заказ-наряд №: 279 от 27.08.2021, ТС: Mazda Mazda6 гос. номер: У984УН72",2021-08-27,1500,Mazda Mazda6,У984УН72
54,"Заказ-наряд №: 285 от 19.11.2021, ТС: Lexus RX 400 гос. номер: Н747ТУ86",2021-11-19,5000,Lexus RX 400,Н747ТУ86
55,"Заказ-наряд №: 301 от 17.08.2021, ТС: Nissan Qashqai гос. номер: У277КН72",2021-08-17,3700,Nissan Qashqai,У277КН72
56,"Заказ-наряд №: 311 от 17.08.2021, ТС: Citroen C4 гос. номер: Х476ЕА72",2021-08-17,2700,Citroen C4,Х476ЕА72
57,"Заказ-наряд №: 313 от 17.08.2021, ТС: Kia Cerato гос. номер: К556ХВ86",2021-08-17,1000,Kia Cerato,К556ХВ86
58,"Заказ-наряд №: 314 от 17.08.2021, ТС: Datsun On-Do гос. номер: М065АУ82",2021-08-17,1000,Datsun On-Do,М065АУ82
59,"Заказ-наряд №: 318 от 18.08.2021, ТС: Kia Sorento гос. номер: У144ОУ72",2021-08-18,2000,Kia Sorento,У144ОУ72
60,"Заказ-наряд №: 325 от 18.08.2021, ТС: Opel Zafira гос. номер: У818ММ86",2021-08-18,1000,Opel Zafira,У818ММ86
61,"Заказ-наряд №: 331 от 19.08.2021, ТС: ВАЗ 2110 гос. номер: У541НЕ72",2021-08-19,2000,ВАЗ 2110,У541НЕ72
62,"Заказ-наряд №: 334 от 18.08.2021, ТС: Mercedes-Benz E-Class гос. номер: У046РН72",2021-08-18,2000,Mercedes-Benz E-Class,У046РН72
63,"Заказ-наряд №: 339 от 19.08.2021, ТС: Renault Logan гос. номер: А462ВЕ797",2021-08-19,1000,Renault Logan,А462ВЕ797
64,"Заказ-наряд №: 352 от 20.08.2021, ТС: BMW 5-Series гос. номер: У629ОУ72",2021-08-20,1500,BMW 5-Series,У629ОУ72
65,"Заказ-наряд №: 353 от 20.08.2021, ТС: Renault Logan гос. номер: АУ1402 72",2021-08-20,1000,Renault Logan,АУ1402 72
66,"Заказ-наряд №: 355 от 20.08.2021, ТС: Chevrolet Orlando гос. номер: В065НВ89",2021-08-20,1500,Chevrolet Orlando,В065НВ89
67,"Заказ-наряд №: 360 от 20.08.2021, ТС: Kia Sorento гос. номер: С312НО72",2021-08-20,1000,Kia Sorento,С312НО72
68,"Заказ-наряд №: 370 от 20.08.2021, ТС: Chevrolet Orlando гос. номер: В065НВ89",2021-08-20,2000,Chevrolet Orlando,В065НВ89
69,"Заказ-наряд №: 371 от 20.08.2021, ТС: Chevrolet Lanos гос. номер: О657ЕК72",2021-08-20,500,Chevrolet Lanos,О657ЕК72
70,"Заказ-наряд №: 377 от 21.08.2021, ТС: Kia Ceed гос. номер: А828КН89",2021-08-21,1000,Kia Ceed,А828КН89
71,"Заказ-наряд №: 378 от 21.08.2021, ТС: LADA VESTA GFK 110 гос. номер: С409ХУ72",2021-08-21,1000,LADA VESTA GFK 110,С409ХУ72
72,"Заказ-наряд №: 379 от 21.08.2021, ТС: Nissan Teana гос. номер: Т152МЕ72",2021-08-21,2200,Nissan Teana,Т152МЕ72
73,"Заказ-наряд №: 380 от 21.08.2021, ТС: Volkswagen Polo гос. номер: У191ХА72",2021-08-21,1000,Volkswagen Polo,У191ХА72
74,"Заказ-наряд №: 381 от 21.08.2021, ТС: Mercedes-Benz SPRINTER гос. номер:М406НО40",2021-08-21,1700,Mercedes-Benz SPRINTER,406НО40
75,"Заказ-наряд №: 384 от 23.08.2021, ТС: Kia Cerato гос. номер: К556ХВ86",2021-08-23,1000,Kia Cerato,К556ХВ86
76,"Заказ-наряд №: 385 от 21.08.2021, ТС: Chevrolet Captiva гос. номер: Т235УМ72",2021-08-21,1000,Chevrolet Captiva,Т235УМ72
77,"Заказ-наряд №: 392 от 22.08.2021, ТС: Kia Ceed гос. номер: О993ТС72",2021-08-22,1000,Kia Ceed,О993ТС72
78,"Заказ-наряд №: 395 от 24.08.2021, ТС: Nissan Teana гос. номер: Т822КА72",2021-08-24,2500,Nissan Teana,Т822КА72
79,"Заказ-наряд №: 396 от 22.08.2021, ТС: Renault Logan гос. номер: У979АХ797",2021-08-22,200,Renault Logan,У979АХ797
80,"Заказ-наряд №: 398 от 22.08.2021, ТС: Kia Sorento гос. номер: Т834СТ72",2021-08-22,500,Kia Sorento,Т834СТ72
81,"Заказ-наряд №: 418 от 25.08.2021, ТС: Lexus GX470 гос. номер: Т232ОР72",2021-08-25,3000,Lexus GX470,Т232ОР72
82,"Заказ-наряд №: 422 от 24.08.2021, ТС: LADA VESTA гос. номер: Т342РХ72",2021-08-24,1500,LADA VESTA,Т342РХ72
83,"Заказ-наряд №: 432 от 24.08.2021, ТС: Kia Rio гос. номер: У067РО72",2021-08-24,2000,Kia Rio,У067РО72
84,"Заказ-наряд №: 433 от 25.08.2021, ТС: Renault Logan гос. номер: У983АХ797",2021-08-25,2200,Renault Logan,У983АХ797
85,"Заказ-наряд №: 440 от 24.08.2021, ТС: Daewoo Nexia гос. номер: Н531ЕО456",2021-08-24,1000,Daewoo Nexia,Н531ЕО456
86,"Заказ-наряд №: 445 от 25.08.2021, ТС: Daewoo Gentra гос. номер: Р476КА72",2021-08-25,500,Daewoo Gentra,Р476КА72
87,"Заказ-наряд №: 448 от 25.08.2021, ТС: Ford Mondeo гос. номер: С916РХ72",2021-08-25,1900,Ford Mondeo,С916РХ72
88,"Заказ-наряд №: 455 от 25.08.2021, ТС: Kia Rio гос. номер: С979ЕР72",2021-08-25,1200,Kia Rio,С979ЕР72
89,"Заказ-наряд №: 456 от 25.08.2021, ТС: Renault Logan гос. номер: У979АХ797",2021-08-25,2000,Renault Logan,У979АХ797
90,"Заказ-наряд №: 469 от 01.09.2021, ТС: Citroen DS5 гос. номер: О513УМ72",2021-09-01,2000,Citroen DS5,О513УМ72
91,"Заказ-наряд №: 472 от 27.08.2021, ТС: Daewoo Nexia гос. номер: Н531ЕО456",2021-08-27,1000,Daewoo Nexia,Н531ЕО456
92,"Заказ-наряд №: 473 от 27.08.2021, ТС: Opel Corsa гос. номер: Н819ХТ86",2021-08-27,8000,Opel Corsa,Н819ХТ86
93,"Заказ-наряд №: 474 от 27.08.2021, ТС: Hyundai Solaris гос. номер: Н925ХВ72",2021-08-27,2000,Hyundai Solaris,Н925ХВ72
94,"Заказ-наряд №: 476 от 27.08.2021, ТС: Chevrolet Lacetti гос. номер: О735МР72",2021-08-27,500,Chevrolet Lacetti,О735МР72
95,"Заказ-наряд №: 479 от 28.08.2021, ТС: LADA 217050 PRIORA гос. номер: У910КК72",2021-08-28,2000,LADA 217050 PRIORA,У910КК72
96,"Заказ-наряд №: 483 от 28.08.2021, ТС: Kia Ceed гос. номер: М453ХТ196",2021-08-28,1000,Kia Ceed,М453ХТ196
97,"Заказ-наряд №: 484 от 29.08.2021, ТС: Nissan Teana гос. номер: С165УВ72",2021-08-29,1000,Nissan Teana,С165УВ72
98,"Заказ-наряд №: 488 от 28.08.2021, ТС: Datsun On-Do гос. номер: Х211ТВ72",2021-08-28,2500,Datsun On-Do,Х211ТВ72
99,"Заказ-наряд №: 491 от 28.08.2021, ТС: Toyota Celica гос. номер: У808КА72",2021-08-28,500,Toyota Celica,У808КА72
100,"Заказ-наряд №: 494 от 30.08.2021, ТС: Subaru Legacy гос. номер: У046РВ96",2021-08-30,1000,Subaru Legacy,У046РВ96
101,"Заказ-наряд №: 495 от 30.08.2021, ТС: Datsun On-Do гос. номер: О346ОХ198",2021-08-30,2000,Datsun On-Do,О346ОХ198
102,"Заказ-наряд №: 500 от 30.08.2021, ТС: Kia Optima гос. номер: А097НВ45",2021-08-30,1000,Kia Optima,А097НВ45
103,"Заказ-наряд №: 524 от 31.08.2021, ТС: Renault Logan гос. номер: В478ВО147",2021-08-31,1000,Renault Logan,В478ВО147
104,"Заказ-наряд №: 525 от 31.08.2021, ТС: Hyundai Solaris гос. номер: У151ЕТ72",2021-08-31,2500,Hyundai Solaris,У151ЕТ72
105,"Заказ-наряд №: 526 от 31.08.2021, ТС: Hyundai Solaris гос. номер: О564КН72",2021-08-31,1200,Hyundai Solaris,О564КН72
106,"Заказ-наряд №: 528 от 31.08.2021, ТС: Renault Logan гос. номер: А710ВВ797",2021-08-31,2500,Renault Logan,А710ВВ797
107,"Заказ-наряд №: 530 от 31.08.2021, ТС: LADA VESTA гос. номер: М705ЕН797",2021-08-31,1000,LADA VESTA,М705ЕН797
108,"Заказ-наряд №: 536 от 01.09.2021, ТС: LADA VESTA гос. номер: Т440ЕР72",2021-09-01,1500,LADA VESTA,Т440ЕР72
109,"Заказ-наряд №: 541 от 01.09.2021, ТС: Chevrolet Cruze гос. номер: Т467ХЕ72",2021-09-01,2500,Chevrolet Cruze,Т467ХЕ72
110,"Заказ-наряд №: 545 от 01.09.2021, ТС: Renault Logan гос. номер: В830УВ89",2021-09-01,1000,Renault Logan,В830УВ89
111,"Заказ-наряд №: 549 от 01.09.2021, ТС: Opel Astra гос. номер: Т691УА72",2021-09-01,2800,Opel Astra,Т691УА72
112,"Заказ-наряд №: 550 от 01.09.2021, ТС: Opel Astra гос. номер: Т691УА72",2021-09-01,2000,Opel Astra,Т691УА72
113,"Заказ-наряд №: 551 от 01.09.2021, ТС: Hyundai Santa Fe гос. номер: Е025ВА186",2021-09-01,3000,Hyundai Santa Fe,Е025ВА186
114,"Заказ-наряд №: 556 от 11.09.2021, ТС: Mazda MPV гос. номер: К942УМ72",2021-09-11,1000,Mazda MPV,К942УМ72
115,"Заказ-наряд №: 574 от 03.09.2021, ТС: Volkswagen Passat гос. номер: Т918НК72",2021-09-03,1000,Volkswagen Passat,Т918НК72
116,"Заказ-наряд №: 575 от 04.09.2021, ТС: ВАЗ 2115 гос. номер: У249УУ72",2021-09-04,1850,ВАЗ 2115,У249УУ72
117,"Заказ-наряд №: 585 от 03.09.2021, ТС: Ravon NEXIA R3 гос. номер: М209МЕ45",2021-09-03,5000,Ravon NEXIA R3,М209МЕ45
118,"Заказ-наряд №: 587 от 03.09.2021, ТС: Renault Logan гос. номер: АТ00372",2021-09-03,2000,Renault Logan,АТ00372
119,"Заказ-наряд №: 599 от 04.09.2021, ТС: Kia Rio гос. номер: ОУ085 77",2021-09-04,1000,Kia Rio,ОУ085 77
120,"Заказ-наряд №: 601 от 04.09.2021, ТС: LADA  GRАNТА 219010 гос. номер:В763НС147",2021-09-04,2000,LADA  GRАNТА 219010,763НС147
121,"Заказ-наряд №: 603 от 04.09.2021, ТС: Toyota Camry гос. номер: С868ХН72",2021-09-04,2500,Toyota Camry,С868ХН72
122,"Заказ-наряд №: 604 от 04.09.2021, ТС: Nissan Almera гос. номер: М090МТ55",2021-09-04,500,Nissan Almera,М090МТ55
123,"Заказ-наряд №: 605 от 04.09.2021, ТС: Opel Astra гос. номер: С778СУ72",2021-09-04,2000,Opel Astra,С778СУ72
124,"Заказ-наряд №: 607 от 04.09.2021, ТС: LADA VESTA гос. номер: А771РО186",2021-09-04,450,LADA VESTA,А771РО186
125,"Заказ-наряд №: 611 от 05.09.2021, ТС: Skoda Fabia гос. номер: В553ТМ89",2021-09-05,1000,Skoda Fabia,В553ТМ89
126,"Заказ-наряд №: 612 от 05.09.2021, ТС: ВАЗ Веста гос. номер: Т211ЕО72",2021-09-05,1000,ВАЗ Веста,Т211ЕО72
127,"Заказ-наряд №: 614 от 05.09.2021, ТС: Hyundai CRETA гос. номер: Х726МВ56",2021-09-05,1000,Hyundai CRETA,Х726МВ56
128,"Заказ-наряд №: 665 от 08.09.2021, ТС: Renault Megane гос. номер: У478КН72",2021-09-08,2000,Renault Megane,У478КН72
129,"Заказ-наряд №: 668 от 08.09.2021, ТС: Audi A4 гос. номер: У206ОР72",2021-09-08,1000,Audi A4,У206ОР72
130,"Заказ-наряд №: 669 от 11.02.2022, ТС: Skoda Octavia гос. номер: Н254МО72",2022-02-11,1000,Skoda Octavia,Н254МО72
131,"Заказ-наряд №: 678 от 08.09.2021, ТС: Toyota Camry гос. номер: С868ХН72",2021-09-08,1500,Toyota Camry,С868ХН72
132,"Заказ-наряд №: 685 от 09.09.2021, ТС: Lexus RX 450 гос. номер: О919СХ72",2021-09-09,0,Lexus RX 450,О919СХ72
133,"Заказ-наряд №: 687 от 09.09.2021, ТС: Volkswagen Tiguan гос. номер: Т090ТК72",2021-09-09,3000,Volkswagen Tiguan,Т090ТК72
134,"Заказ-наряд №: 709 от 11.09.2021, ТС: ГАЗ 3221 гос. номер: Х511АХ96",2021-09-11,1500,ГАЗ 3221,Х511АХ96
135,"Заказ-наряд №: 711 от 11.09.2021, ТС: Opel Insignia гос. номер: Т507ЕС72",2021-09-11,1000,Opel Insignia,Т507ЕС72
136,"Заказ-наряд №: 713 от 11.09.2021, ТС: Renault Logan гос. номер: У983АХ797",2021-09-11,1000,Renault Logan,У983АХ797
137,"Заказ-наряд №: 714 от 11.09.2021, ТС: Chevrolet Aveo гос. номер: А056НЕ186",2021-09-11,1000,Chevrolet Aveo,А056НЕ186
138,"Заказ-наряд №: 723 от 12.09.2021, ТС: Renault Logan гос. номер: А476ВЕ797",2021-09-12,1500,Renault Logan,А476ВЕ797
139,"Заказ-наряд №: 749 от 15.09.2021, ТС: Datsun On-Do гос. номер: М065АУ82",2021-09-15,1000,Datsun On-Do,М065АУ82
140,"Заказ-наряд №: 767 от 13.09.2021, ТС: ВАЗ Веста гос. номер: Т211ЕО72",2021-09-13,1000,ВАЗ Веста,Т211ЕО72
141,"Заказ-наряд №: 773 от 12.09.2021, ТС: Renault Logan гос. номер: А476ВЕ797",2021-09-12,1500,Renault Logan,А476ВЕ797
142,"Заказ-наряд №: 776 от 15.09.2021, ТС: Kia Rio гос. номер: У175МО56",2021-09-15,1900,Kia Rio,У175МО56
143,"Заказ-наряд №: 792 от 19.09.2021, ТС: Opel Astra гос. номер: Н242ХА82",2021-09-19,4500,Opel Astra,Н242ХА82
144,"Заказ-наряд №: 810 от 17.09.2021, ТС: Renault Logan гос. номер: А617ВЕ797",2021-09-17,1000,Renault Logan,А617ВЕ797
145,"Заказ-наряд №: 814 от 17.09.2021, ТС: Volkswagen Polo гос. номер: Т230НА178",2021-09-17,1500,Volkswagen Polo,Т230НА178
146,"Заказ-наряд №: 815 от 17.09.2021, ТС: Skoda Superb гос. номер: И828см174",2021-09-17,1000,Skoda Superb,И828см174
147,"Заказ-наряд №: 824 от 18.09.2021, ТС: Renault Logan гос. номер: О285ХЕ198",2021-09-18,2500,Renault Logan,О285ХЕ198
148,"Заказ-наряд №: 825 от 18.09.2021, ТС: Hyundai Solaris гос. номер: О564КН72",2021-09-18,1500,Hyundai Solaris,О564КН72
149,"Заказ-наряд №: 826 от 18.09.2021, ТС: Kia Rio гос. номер: О117КО72",2021-09-18,1500,Kia Rio,О117КО72
150,"Заказ-наряд №: 836 от 19.09.2021, ТС: Toyota Camry гос. номер: Р696АЕ761",2021-09-19,8000,Toyota Camry,Р696АЕ761
151,"Заказ-наряд №: 838 от 20.09.2021, ТС: Datsun On-Do гос. номер: М065АУ82",2021-09-20,1500,Datsun On-Do,М065АУ82
152,"Заказ-наряд №: 840 от 19.09.2021, ТС: Skoda Kodiag гос. номер: У283КК72",2021-09-19,1500,Skoda Kodiag,У283КК72
153,"Заказ-наряд №: 848 от 20.09.2021, ТС: Kia Ceed гос. номер: Т044СР72",2021-09-20,1000,Kia Ceed,Т044СР72
154,"Заказ-наряд №: 858 от 05.01.2022, ТС: Toyota PRADO 120 гос. номер: ",2022-01-05,15000,Toyota PRADO 120,
155,"Заказ-наряд №: 865 от 21.09.2021, ТС: LADA GFL 110 VESTA гос. номер: Х294ЕТ797",2021-09-21,1000,LADA GFL 110 VESTA,Х294ЕТ797
156,"Заказ-наряд №: 866 от 21.09.2021, ТС: LADA VESTA гос. номер: М671ЕН797",2021-09-21,300,LADA VESTA,М671ЕН797
157,"Заказ-наряд №: 867 от 21.09.2021, ТС: SsangYong Kyron гос. номер: К362УВ72",2021-09-21,500,SsangYong Kyron,К362УВ72
158,"Заказ-наряд №: 871 от 21.09.2021, ТС: Nissan Sunny гос. номер: Е699КР72",2021-09-21,1000,Nissan Sunny,Е699КР72
159,"Заказ-наряд №: 872 от 21.09.2021, ТС: Nissan Qashqai гос. номер: О364ХУ72",2021-09-21,1000,Nissan Qashqai,О364ХУ72
160,"Заказ-наряд №: 880 от 22.09.2021, ТС: Renault Logan гос. номер: У799АН797",2021-09-22,700,Renault Logan,У799АН797
161,"Заказ-наряд №: 888 от 22.09.2021, ТС: Nissan Sunny гос. номер: К107ОМ186",2021-09-22,1000,Nissan Sunny,К107ОМ186
162,"Заказ-наряд №: 890 от 01.10.2021, ТС: Honda Civic гос. номер: М143КК72",2021-10-01,7500,Honda Civic,М143КК72
163,"Заказ-наряд №: 894 от 22.09.2021, ТС: Honda Civic гос. номер: O010XK72",2021-09-22,2500,Honda Civic,O010XK72
164,"Заказ-наряд №: 896 от 22.09.2021, ТС: Chevrolet Captiva гос. номер: Т235УМ72",2021-09-22,4000,Chevrolet Captiva,Т235УМ72
165,"Заказ-наряд №: 909 от 29.09.2021, ТС: Opel Meriva гос. номер: К883НМ72",2021-09-29,2000,Opel Meriva,К883НМ72
166,"Заказ-наряд №: 916 от 24.09.2021, ТС: LADA VESTA гос. номер: К544ЕУ797",2021-09-24,1000,LADA VESTA,К544ЕУ797
167,"Заказ-наряд №: 917 от 16.10.2021, ТС: LADA  GRАNТА 219010 гос. номер:В762НС147",2021-10-16,5500,LADA  GRАNТА 219010,762НС147
168,"Заказ-наряд №: 919 от 24.09.2021, ТС: LADA GFL 110 VESTA гос. номер: Х819ЕР797",2021-09-24,7000,LADA GFL 110 VESTA,Х819ЕР797
169,"Заказ-наряд №: 924 от 24.09.2021, ТС: Toyota Corolla гос. номер: Н819ЕЕ89",2021-09-24,2000,Toyota Corolla,Н819ЕЕ89
170,"Заказ-наряд №: 928 от 25.09.2021, ТС: Renault Logan гос. номер: У983АХ797",2021-09-25,250,Renault Logan,У983АХ797
171,"Заказ-наряд №: 937 от 25.09.2021, ТС: Volkswagen Golf гос. номер: Р480МА72",2021-09-25,1000,Volkswagen Golf,Р480МА72
172,"Заказ-наряд №: 940 от 26.09.2021, ТС: Citroen C4 гос. номер: С469ХА72",2021-09-26,1000,Citroen C4,С469ХА72
173,"Заказ-наряд №: 945 от 26.09.2021, ТС: Great wall СС 64460 гос. номер: О215РЕ72",2021-09-26,12000,Great wall СС 64460,О215РЕ72
174,"Заказ-наряд №: 947 от 26.09.2021, ТС: ВАЗ 2107 гос. номер: Н273ХО72",2021-09-26,2500,ВАЗ 2107,Н273ХО72
175,"Заказ-наряд №: 949 от 26.09.2021, ТС: Hyundai Accent гос. номер: К142ХМ72",2021-09-26,1000,Hyundai Accent,К142ХМ72
176,"Заказ-наряд №: 950 от 27.09.2021, ТС: Renault Logan гос. номер: У217АК797",2021-09-27,1000,Renault Logan,У217АК797
177,"Заказ-наряд №: 997 от 29.09.2021, ТС: Renault Logan гос. номер: А462ВЕ797",2021-09-29,1000,Renault Logan,А462ВЕ797
178,"Заказ-наряд №: 999 от 29.09.2021, ТС: Kia Rio гос. номер: У196НК72",2021-09-29,1100,Kia Rio,У196НК72
179,"Заказ-наряд №: 1000 от 29.09.2021, ТС: Toyota PRADO 150 NEW гос. номер:н929см72",2021-09-29,2000,Toyota PRADO 150 NEW,929см72
180,"Заказ-наряд №: 1005 от 29.09.2021, ТС: Chery Indis гос. номер: Т770СА72",2021-09-29,2000,Chery Indis,Т770СА72
181,"Заказ-наряд №: 1007 от 29.09.2021, ТС: Datsun On-Do гос. номер: Т016АМ39",2021-09-29,1300,Datsun On-Do,Т016АМ39
