Наименование работ,Цена,Дата
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2021-10-06
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2021-10-06
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2021-10-06
Электротехнические работы,4000,2021-10-07
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2021-10-07
Проверка блока розжига замена лампы,500,2021-10-07
Электротехнические работы,1500,2021-10-07
Проверка цепей электропитания насосоа катушек цепей зажигания,1000,2021-10-07
Ремонт электропроводки замена датчика положения коленчатого вала,1000,2021-10-07
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",800,2021-10-07
Ремонт генератора,2000,2021-10-08
Адаптация датчиков положения кузова,1000,2021-10-09
Замена ламп,900,2021-10-09
Проверка и замена предохранителя,500,2021-10-09
Компьютерная диагностика,1000,2021-10-09
Подключение камеры заднего вида,2000,2021-10-09
Подключение питания видеорегистратора,1500,2021-10-09
Ремонт сигнализации,2000,2021-10-09
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",2000,2021-10-12
Электротехнические работы,2000,2021-10-12
Проверка электроцепи сигнала,500,2021-10-12
Ремонт подрулевого переключателя,1000,2021-10-12
Диагностика повышенного потребления тока,1000,2021-10-13
Проверка утечки тока,500,2021-10-13
"Проверка электроцепи рег-ки зеркал,ремонт проводки вод.двери",1000,2021-10-13
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2021-10-15
Замена катушки зажигания 1 шт.,200,2021-10-15
Замена свечей зажигания 4 цилиндр. ДВС,400,2021-10-15
Электротехнические работы,500,2021-10-15
Электротехнические работы,1500,2021-10-15
Диагностика Вебасто,1000,2021-10-16
Прошивка сигнализации,1000,2021-10-16
Проверка зарядки,500,2021-10-16
Ремонт генератора,1500,2021-10-16
Ремонт стартера,1000,2021-10-16
Компьютерная диагностика,1000,2021-10-17
Проверка электроцепей АКПП,2000,2021-10-17
Электротехнические работы,4000,2021-10-18
Компьютерная диагностика электронных систем после заправки фреоном,1000,2021-10-19
Электротехнические работы,500,2021-10-19
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2021-10-20
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",3000,2021-10-20
Ремонт проводки,500,2021-10-20
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2021-10-20
Электротехнические работы,600,2021-10-20
"Ремонт эл.проводки,замена разъемов эл.вентиляторов",1000,2021-10-25
Электротехнические работы,1000,2021-10-23
Ремонт электропроводки,2000,2021-10-23
Электротехнические работы,1000,2021-10-23
Бензонасос-снятие/установка,1500,2021-10-23
Электротехнические работы,500,2021-10-23
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2021-10-26
Снятие-установка топливного насоса погружной в баке,1500,2021-10-26
Компьютерная диагностика электронных систем после заправки фреоном,1000,2021-11-03
Ремонт клеммы АКБ,1000,2021-11-03
удаление воды из свечных колодцев,500,2021-11-03
Электротехнические работы,1000,2021-10-26
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2021-10-26
Электротехнические работы,1000,2021-10-26
Электротехнические работы,1000,2021-10-26
Электротехнические работы,1000,2021-10-26
Электротехнические работы,1000,2021-10-27
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2021-10-27
Диагностика эл оборудования,500,2021-10-27
Ремонт жгута гоырф багажника,2000,2021-10-27
Ремонт эл разъема лампы бл. свет,1000,2021-10-27
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2021-10-27
Замена мотора отопителя салона,1200,2021-10-27
Электротехнические работы,3000,2021-10-27
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2021-10-29
Ремонт эл. проводки ДВС,1500,2021-10-29
Компьютерная диагностика,1000,2021-10-30
Проверка и ремонт ABS,3000,2021-10-30
Электротехнические работы,2000,2021-10-30
Электротехнические работы,500,2021-10-30
Замена лампы головного освещения,100,2021-11-02
Лампа ПТФ замена,300,2021-11-02
Электротехнические работы,2500,2021-10-31
Ремонт фонаря з/левая,1000,2021-10-31
замена лампы,500,2021-10-31
Бензонасос-снятие/установка,1500,2021-11-02
Электротехнические работы,1000,2021-11-02
Компьютерная диагностика,1000,2021-11-02
Электротехнические работы,1000,2021-11-02
Электротехнические работы,3000,2021-11-02
Замок  -Снятие/установка,2000,2021-11-03
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2021-11-03
Чистка форсунок,1850,2021-11-03
Ремонт замка двери,1200,2021-11-05
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2021-11-05
Замена катушки зажигания 1 шт.,200,2021-11-05
Замена свечей зажигания 4 цилиндр. ДВС,400,2021-11-05
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2021-11-05
Ремонт электропроводки,1000,2021-11-05
Генератор-снятие/установка,1500,2021-11-05
Ремонт генератора,2000,2021-11-05
Ремонт электропроводки,2000,2021-11-06
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2021-11-06
Ремонт электропроводки,1000,2021-11-06
Подключение регистратора,1500,2021-11-06
Ремонт генератора,2000,2021-11-06
Компьютерная диагностика,1000,2021-11-07
Ремонт электроцепей сиг/автозапуск,3000,2021-11-07
Электротехнические работы,3000,2021-11-08
"Простая замена эл ламп освещения стоп-сигналы,поворотники,габариты,подсветканомера,салон",200,2021-11-09
Компьютерная диагностика,1000,2021-11-09
Компьютерная диагностика,1000,2021-11-10
Замена датчика АБС,1000,2021-11-10
Компьютерная диагностика,1000,2021-11-10
Промывка форсунок,1900,2021-11-12
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2021-11-12
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2021-11-12
Электрика,1000,2021-11-12
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2021-11-13
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",500,2021-11-13
Установка сигнализации,10000,2021-11-14
Поиск неисправности.компьютерная диагностика,1000,2021-11-26
Диагностика сигнализации,500,2021-11-16
Замена лампы,250,2021-11-17
Электротехнические работы,1250,2021-11-17
Электротехнические работы,2000,2021-11-17
Компьютерная диагностика,1000,2021-11-17
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2021-11-22
Разборка дефектовка сборка стартера,1500,2021-11-22
Ремонт датчика АБС,1000,2021-11-22
Компьютерная диагностика,1000,2021-11-20
Ремонт генератора,1500,2021-11-20
Ремонт стеклоподьемника,3000,2021-11-22
Компьютерная диагностика,1000,2021-11-21
Лампа ПТФ замена,300,2021-11-21
Установка камеры заднего вида,3000,2021-11-21
Электротехнические работы,1000,2021-11-21
Бензонасос-снятие/установка,2500,2021-11-24
Компьютерная диагностика,1000,2021-11-24
Электротехнические работы,1200,2021-11-26
Ремонт генератора,2000,2021-11-26
Замена свечей зажигания 4 цилиндр. ДВС,400,2021-11-27
Электротехнические работы,500,2021-11-26
установка регистратора,1500,2021-11-26
Демонтаж блока блокировки ДВС,5000,2021-11-27
Диагностика АКБ проверка заряда,500,2021-11-27
Диагностика АКБ проверка заряда АКБ,500,2021-11-27
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2021-11-27
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2021-11-27
"Ремонт блока сигнализации , проводки",2500,2021-11-27
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2021-11-27
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2021-11-27
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2021-11-28
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2021-11-28
Замена разъема лампы передней фары Н7,500,2021-11-28
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1500,2021-11-28
Ремонт проводки,1000,2021-11-28
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2021-11-30
Проверка ремонт ДПРВ,2000,2021-11-30
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",2000,2021-11-28
"Прозвонка ДПКВ,проверка и ремонт проводки датчика.",500,2021-11-28
Компьютерная диагностика,1000,2021-11-30
Демонтаж блокировки,1500,2021-12-02
Компьютерная диагностика поиск неисправности,1000,2021-12-02
Компьютерная диагностика,1200,2021-12-01
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2021-12-01
"Замена блока дроссельной заслонки ,адаптация",1000,2021-12-01
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2021-12-29
Замена лам передних ПТФ с ремонтом электропроводки,1500,2021-12-29
Замена ламп стопсигнала,300,2021-12-29
Поиск обрыва цепи камеры заднего вида,300,2021-12-29
"Проверка датчиков парктроников, прозвонка цепей, замена , настройка",3000,2021-12-29
Ремонт камеры заднего вида с применением пайки,2500,2021-12-29
Компютерная диагностика поиск неисправности,1000,2021-11-30
Замена клапана подачи,1500,2021-12-02
Компютерная диагностика поиск неисправности,1000,2021-12-02
